Country,Country Code,Inbound arrivals of tourists_2013,Inbound arrivals of tourists_2014,Inbound arrivals of tourists_2015,Inbound arrivals of tourists_2016,Inbound arrivals of tourists_2017,Inbound arrivals of tourists_2018,Inbound arrivals of tourists_2019,Inbound arrivals of tourists_2020,Inbound arrivals of tourists_2021,Inbound arrivals of tourists_2022
Iran,IRN,882000.0,882000.0,882000.0,882000.0,882000.0,882000.0,882000.0,882000.0,882000.0,882000.0
Ireland,IRL,4818000.0,4818000.0,4818000.0,4818000.0,4818000.0,4818000.0,4818000.0,4818000.0,4818000.0,4818000.0
Israel,ISR,2215000.0,2215000.0,2215000.0,2215000.0,2215000.0,2215000.0,2215000.0,2215000.0,2215000.0,2215000.0
Italy,ITA,31052000.0,31052000.0,31052000.0,31052000.0,31052000.0,31052000.0,31052000.0,31052000.0,31052000.0,31052000.0
Jamaica,JAM,1147000.0,1147000.0,1147000.0,1147000.0,1147000.0,1147000.0,1147000.0,1147000.0,1147000.0,1147000.0
Jordan,JOR,1075000.0,1075000.0,1075000.0,1075000.0,1075000.0,1075000.0,1075000.0,1075000.0,1075000.0,1075000.0
Kazakhstan,KAZ,1471000.0,1471000.0,1471000.0,1471000.0,1471000.0,1471000.0,1471000.0,1471000.0,1471000.0,1471000.0
Kenya,KEN,918000.0,918000.0,918000.0,918000.0,918000.0,918000.0,918000.0,918000.0,918000.0,918000.0
Kiribati,KIR,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0
Kuwait,KWT,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0
Kyrgyzstan,KGZ,36000.0,36000.0,36000.0,36000.0,36000.0,36000.0,36000.0,36000.0,36000.0,36000.0
Laos,LAO,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0
Latvia,LVA,539000.0,539000.0,539000.0,539000.0,539000.0,539000.0,539000.0,539000.0,539000.0,539000.0
Lebanon,LBN,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0
Lesotho,LSO,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0,87000.0
Libya,LBY,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0,56000.0
Liechtenstein,LIE,59400.0,59400.0,59400.0,59400.0,59400.0,59400.0,59400.0,59400.0,59400.0,59400.0
Lithuania,LTU,650000.0,650000.0,650000.0,650000.0,650000.0,650000.0,650000.0,650000.0,650000.0,650000.0
Luxembourg,LUX,768000.0,768000.0,768000.0,768000.0,768000.0,768000.0,768000.0,768000.0,768000.0,768000.0
Macao,MAC,4202000.0,4202000.0,4202000.0,4202000.0,4202000.0,4202000.0,4202000.0,4202000.0,4202000.0,4202000.0
Madagascar,MDG,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0
Malawi,MWI,192000.0,192000.0,192000.0,192000.0,192000.0,192000.0,192000.0,192000.0,192000.0,192000.0
Malaysia,MYS,7469000.0,7469000.0,7469000.0,7469000.0,7469000.0,7469000.0,7469000.0,7469000.0,7469000.0,7469000.0
Maldives,MDV,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0,315000.0
Mali,MLI,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0,42000.0
Malta,MLT,1116000.0,1116000.0,1116000.0,1116000.0,1116000.0,1116000.0,1116000.0,1116000.0,1116000.0,1116000.0
Marshall Islands,MHL,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0
Martinique,MTQ,457000.0,457000.0,457000.0,457000.0,457000.0,457000.0,457000.0,457000.0,457000.0,457000.0
Mauritania,MRT,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0
Mauritius,MUS,422000.0,422000.0,422000.0,422000.0,422000.0,422000.0,422000.0,422000.0,422000.0,422000.0
Mexico,MEX,20241000.0,20241000.0,20241000.0,20241000.0,20241000.0,20241000.0,20241000.0,20241000.0,20241000.0,20241000.0
Micronesia (country),FSM,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0
Moldova,MDA,32000.0,32000.0,32000.0,32000.0,32000.0,32000.0,32000.0,32000.0,32000.0,32000.0
Monaco,MCO,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0,233000.0
Mongolia,MNG,165000.0,165000.0,165000.0,165000.0,165000.0,165000.0,165000.0,165000.0,165000.0,165000.0
Montenegro,MNE,136000.0,136000.0,136000.0,136000.0,136000.0,136000.0,136000.0,136000.0,136000.0,136000.0
Montserrat,MSR,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0
Morocco,MAR,2602000.0,2602000.0,2602000.0,2602000.0,2602000.0,2602000.0,2602000.0,2602000.0,2602000.0,2602000.0
Mozambique,MOZ,323000.0,323000.0,323000.0,323000.0,323000.0,323000.0,323000.0,323000.0,323000.0,323000.0
Myanmar,MMR,194000.0,194000.0,194000.0,194000.0,194000.0,194000.0,194000.0,194000.0,194000.0,194000.0
Namibia,NAM,272000.0,272000.0,272000.0,272000.0,272000.0,272000.0,272000.0,272000.0,272000.0,272000.0
Nepal,NPL,363000.0,363000.0,363000.0,363000.0,363000.0,363000.0,363000.0,363000.0,363000.0,363000.0
Netherlands,NLD,6574000.0,6574000.0,6574000.0,6574000.0,6574000.0,6574000.0,6574000.0,6574000.0,6574000.0,6574000.0
New Caledonia,NCL,86000.0,86000.0,86000.0,86000.0,86000.0,86000.0,86000.0,86000.0,86000.0,86000.0
New Zealand,NZL,1475000.0,1475000.0,1475000.0,1475000.0,1475000.0,1475000.0,1475000.0,1475000.0,1475000.0,1475000.0
Nicaragua,NIC,281000.0,281000.0,281000.0,281000.0,281000.0,281000.0,281000.0,281000.0,281000.0,281000.0
Niger,NER,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0
Nigeria,NGA,656000.0,656000.0,656000.0,656000.0,656000.0,656000.0,656000.0,656000.0,656000.0,656000.0
Niue,NIU,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
North Macedonia,MKD,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0,147000.0
Northern Mariana Islands,MNP,669000.0,669000.0,669000.0,669000.0,669000.0,669000.0,669000.0,669000.0,669000.0,669000.0
Norway,NOR,2880000.0,2880000.0,2880000.0,2880000.0,2880000.0,2880000.0,2880000.0,2880000.0,2880000.0,2880000.0
Oman,OMN,279000.0,279000.0,279000.0,279000.0,279000.0,279000.0,279000.0,279000.0,279000.0,279000.0
Pakistan,PAK,378000.0,378000.0,378000.0,378000.0,378000.0,378000.0,378000.0,378000.0,378000.0,378000.0
Palau,PLW,53000.0,53000.0,53000.0,53000.0,53000.0,53000.0,53000.0,53000.0,53000.0,53000.0
Palestine,PSE,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0,220000.0
