Country,Country Code,Series,Series Code,2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022]
East Asia & Pacific developing,EAP,"Unemployment rate,Percent,,,",UNEMPSA_,5.98383393772,5.89552624226,6.04269742489,5.75557534192,4.12268543713,3.78062490573,3.82165580509,4.0598369754,3.88831164595,3.43119152696,3.31807634071,3.44301187386,3.36517312542,3.27430391485,3.00137289825,3.11723557336,2.93484187228,2.8369577363,..,..,3.12242720218
Ecuador,ECU,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,5.47011291219,6.27943482216,5.79134837758,4.71696753134,4.13204302316,4.03201881104,4.29386371866,4.35106694272,5.37231899819,4.43333544279,4.08370938394,4.44845761113,8.2627401382,5.16146475721,4.29085376384
Egypt Arab Rep.,EGY,"Unemployment rate,Percent,,,",UNEMPSA_,..,10.41367567813,10.7513081786,11.03416153906,10.70161067069,8.9983811063,8.70703921545,9.39322404919,8.98381124938,11.99666412516,12.66603702381,13.31185332424,13.15547243385,12.76614525589,12.54078893302,11.79314635016,9.85826075668,7.85978303579,7.95844400287,7.39989573825,7.247198368
El Salvador,SLV,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
EMDE East Asia and Pacific,EAA,"Unemployment rate,Percent,,,",UNEMPSA_,5.98383393772,5.89552624226,6.04269742489,5.75557534192,4.12268543713,3.78062490573,3.82165580509,4.0598369754,3.88831164595,3.43119152696,3.31807634071,3.44301187386,3.36517312542,3.27430391485,3.00137289825,3.11723557336,2.93484187228,2.8369577363,..,..,3.12242720218
EMDE Europe and Central Asia,ECH,"Unemployment rate,Percent,,,",UNEMPSA_,10.65196237757,10.472214699,9.94189445545,9.27174031238,8.77453502019,7.70599156193,7.62272491104,9.73428745975,9.16415584974,8.1333541763,7.51084304989,7.74386293078,7.57532014665,7.56323791489,7.33837103177,6.85252831295,6.39513537969,6.7664407571,7.32564592819,6.60964119191,5.63195871965
EMDE Latin America and the Caribbean,LAP,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,6.54668795407,7.05018821481,8.41172777788,8.86783942517,8.72139276645,8.77366209299,11.00418299576,10.08305465074,7.47602175426
EMDE Middle East and North Africa,MNH,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,9.9693281335,10.26731776043,10.06761123412,8.89237751561,8.52088228846,8.86925115526,8.64691917571,10.43800177829,10.79983885406,11.09201683805,11.06684511937,10.80688115983,10.68076248623,10.55932376162,9.42180289051,8.21425032017,9.27603408554,9.01814700616,8.30044843102
EMDE South Asia,SAP,"Unemployment rate,Percent,,,",UNEMPSA_,8.32871142615,8.25116803312,7.73541827306,7.69110776276,6.23323288273,5.2886210206,5.22215525515,5.50874156133,5.47799542076,5.75614151743,5.73398626228,6.03617165262,5.81168033122,5.7670684691,..,..,5.64491321395,6.66736982092,..,6.02296556379,..
EMDE Sub-Saharan Africa,SSP,"Unemployment rate,Percent,,,",UNEMPSA_,27.83812677818,27.56753545438,25.09254044195,24.63183706666,23.4872525086,22.88495047182,22.4691019866,23.66905211246,24.8406176786,24.78782786019,24.88034223303,24.73058556238,25.10000972684,25.33597817213,26.70129296277,27.41016903835,27.08885493623,28.67049072543,29.14797652574,34.3081322779,33.52223783748
