Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet [CoHD]
Food Prices for Nutrition 3.0,FPN 3.0,Burundi,BDI,2020,YR2020,3.29
Food Prices for Nutrition 3.0,FPN 3.0,Burundi,BDI,2021,YR2021,3.5
Food Prices for Nutrition 3.0,FPN 3.0,Burundi,BDI,2022,YR2022,3.97
Food Prices for Nutrition 3.0,FPN 3.0,Cabo Verde,CPV,2017,YR2017,3.2
Food Prices for Nutrition 3.0,FPN 3.0,Cabo Verde,CPV,2018,YR2018,3.26
Food Prices for Nutrition 3.0,FPN 3.0,Cabo Verde,CPV,2019,YR2019,3.33
Food Prices for Nutrition 3.0,FPN 3.0,Cabo Verde,CPV,2020,YR2020,3.4
Food Prices for Nutrition 3.0,FPN 3.0,Cabo Verde,CPV,2021,YR2021,3.51
Food Prices for Nutrition 3.0,FPN 3.0,Cabo Verde,CPV,2022,YR2022,4.07
Food Prices for Nutrition 3.0,FPN 3.0,Cambodia,KHM,2017,YR2017,3.72
Food Prices for Nutrition 3.0,FPN 3.0,Cambodia,KHM,2018,YR2018,3.81
Food Prices for Nutrition 3.0,FPN 3.0,Cambodia,KHM,2019,YR2019,3.88
Food Prices for Nutrition 3.0,FPN 3.0,Cambodia,KHM,2020,YR2020,4
Food Prices for Nutrition 3.0,FPN 3.0,Cambodia,KHM,2021,YR2021,4.18
Food Prices for Nutrition 3.0,FPN 3.0,Cambodia,KHM,2022,YR2022,4.5
Food Prices for Nutrition 3.0,FPN 3.0,Cameroon,CMR,2017,YR2017,2.58
Food Prices for Nutrition 3.0,FPN 3.0,Cameroon,CMR,2018,YR2018,2.65
Food Prices for Nutrition 3.0,FPN 3.0,Cameroon,CMR,2019,YR2019,2.71
Food Prices for Nutrition 3.0,FPN 3.0,Cameroon,CMR,2020,YR2020,2.77
Food Prices for Nutrition 3.0,FPN 3.0,Cameroon,CMR,2021,YR2021,2.95
Food Prices for Nutrition 3.0,FPN 3.0,Cameroon,CMR,2022,YR2022,3.39
Food Prices for Nutrition 3.0,FPN 3.0,Canada,CAN,2017,YR2017,3.08
Food Prices for Nutrition 3.0,FPN 3.0,Canada,CAN,2018,YR2018,3.13
Food Prices for Nutrition 3.0,FPN 3.0,Canada,CAN,2019,YR2019,3.19
Food Prices for Nutrition 3.0,FPN 3.0,Canada,CAN,2020,YR2020,3.33
Food Prices for Nutrition 3.0,FPN 3.0,Canada,CAN,2021,YR2021,3.48
Food Prices for Nutrition 3.0,FPN 3.0,Canada,CAN,2022,YR2022,3.89
Food Prices for Nutrition 3.0,FPN 3.0,Cayman Islands,CYM,2017,YR2017,3.58
Food Prices for Nutrition 3.0,FPN 3.0,Cayman Islands,CYM,2018,YR2018,3.52
Food Prices for Nutrition 3.0,FPN 3.0,Cayman Islands,CYM,2019,YR2019,3.32
Food Prices for Nutrition 3.0,FPN 3.0,Cayman Islands,CYM,2020,YR2020,3.56
Food Prices for Nutrition 3.0,FPN 3.0,Cayman Islands,CYM,2021,YR2021,3.72
Food Prices for Nutrition 3.0,FPN 3.0,Cayman Islands,CYM,2022,YR2022,3.83
Food Prices for Nutrition 3.0,FPN 3.0,Central African Republic,CAF,2017,YR2017,2.96
Food Prices for Nutrition 3.0,FPN 3.0,Central African Republic,CAF,2018,YR2018,3.03
Food Prices for Nutrition 3.0,FPN 3.0,Central African Republic,CAF,2019,YR2019,3.08
Food Prices for Nutrition 3.0,FPN 3.0,Central African Republic,CAF,2020,YR2020,3.12
Food Prices for Nutrition 3.0,FPN 3.0,Central African Republic,CAF,2021,YR2021,3.27
Food Prices for Nutrition 3.0,FPN 3.0,Central African Republic,CAF,2022,YR2022,3.53
Food Prices for Nutrition 3.0,FPN 3.0,Chad,TCD,2017,YR2017,2.75
Food Prices for Nutrition 3.0,FPN 3.0,Chad,TCD,2018,YR2018,2.66
Food Prices for Nutrition 3.0,FPN 3.0,Chad,TCD,2019,YR2019,2.59
Food Prices for Nutrition 3.0,FPN 3.0,Chad,TCD,2020,YR2020,2.75
